MUNICIPIO;VEREDA;FUENTE;NO. AUTORIZACION;FECHA AUTORIZACION;LATITUD DECIMAL;LONGITUD DECIMAL;ANEXO
SANDONA;SAN FRANCISCO;MANANTIAL LA PRADERA;;;1,274753;77,482469;https://drive.google.com/file/d/1F2Opn5f9NhRI4mpaY9tQEtYIrJmlT99C/view?usp=sharing
SANDONA;SAN ISIDRO;CAÑADA EL GUARANGO;319;30/12/2024;1,271364;77,465753;
SANDONA;SAN ANDRES EL INGENIO;MANANTIAL SAN ANDRES;320;30/12/2024;1,2868;77,456919;
SANTA BARBARA;SANTA RITA;QUEBRADA MARIOTA;317;30/12/2024;2,085598;77,820256;https://drive.google.com/file/d/1A7TSvO7a5Uf8a5Mf0WEOOHFZGpbeo6fN/view?usp=sharing
SANTACRUZ;CHIPACUE;GUALCALA;;;1,15;77,761611;https://drive.google.com/file/d/1r68Lat1pLDi0B5TzOf81I7Ozv3xmqj2T/view?usp=sharing
SANTACRUZ;CHANGUAN;CHANGUAN;;;1,286389;77,632778;https://docs.google.com/document/d/1Qvs6oVahewbVdX-HV4rTLeJ2fc0S5HVn/edit?usp=sharing&ouid=108367453476344242036&rtpof=true&sd=true
SANTACRUZ;PISILTES;PISILTES;;;1,209525;77,690142;
SANTACRUZ;SAN JOSE;BAJO PISILTEZ;283 (Actualiza la AS 324 de 2021);16/12/2024;1,213456;77,678522;
SANTACRUZ;CUALCHAG;EL SALADO;241;1/11/2024;1,250692;77,669294;
SANTACRUZ;CHAPUASQUER;PIEDRA PINTADA;254;18/11/2024;1,205017;77,685611;
SANTACRUZ;PIARAMAG;KINDISKAS;293;23/12/2024;1,204417;77,668361;
SANTACRUZ;CHANGUAN;CHANGUAN;;;1,286389;77,632778;
SANTACRUZ;CHANGUAN;QUEBRADA CHANGUAN;287;18/12/2024;1,286389;77,632778;
SAPUYES;MARAMBA BAJO;EL CARBUNCO;;;1,005;77,612;https://drive.google.com/file/d/17zRQMoh2J_K9M20-kPfMd8CMq5jmpF4z/view?usp=sharing
SAPUYES;CHUNGEL;PARAMO SAN VICENTE;;;1,061944;77,678333;https://drive.google.com/file/d/10HrJZCWDsXsTzL31_GnlH9OdUUR8Kkn2/view?usp=sharing
SAPUYES;EL ESPINO;EL CHUNGEL;325;30/12/2024;1,067778;77,6925;https://drive.google.com/file/d/1HvAtLBs9Fjr2lSggq2p6ypo8IfNshElD/view?usp=sharing
SAPUYES;CHIMANGUAL VIA TUMACO;QUEBRADA EL TIGRE AZUFRAL;SE TRAMITO CON LA AUTORIZACION No. 238 DEL 16 DE DICIEMBRE 2024;;1,053167;77,7385;https://drive.google.com/file/d/141WSLfz3CJ7mbTFeaqXuhy7xHTDJdikm/view?usp=sharing
SAPUYES;SAN IGNACIO;NACIMIENTO SAN IGNACIO;245;6/11/2024;1,001111;77,47;https://drive.google.com/file/d/1EfbqZYRXn9sr8QMX6AVudmPejLbtyl_5/view?usp=sharing
EL TABLON DE GOMEZ;LA FLORIDA;LA FLORIDA;;;1,502472;76,981778;https://drive.google.com/file/d/1gfbmF7Jy8nWiS0WTOdZUbDx7DB8wTLj9/view?usp=sharing
EL TABLON DE GOMEZ;EL CARMELO;TACAMBUCO;;;1,493;76,999694;https://drive.google.com/file/d/17kVht_SIeavZ4YCjUv-ki6NSzzZ3dx--/view?usp=sharing
TAMINANGO;GUAYACANAL;GUAYACANAL;253;15/11/2024;1,577289;77,333639;
TAMINANGO;EL TABLON PANAMERICANO;LA LOMA;;;1,565;77,347;https://drive.google.com/file/d/12_83nf_RFpRTRByqyWVQz3w7SZ6ga5GD/view?usp=sharing
TAMINANGO;EL ALGODONAL;ALJIBE;;;1,673;77,296;https://drive.google.com/file/d/1e608TYTjlL7yy-F6wYeMvMg5kf9C6mVA/view?usp=sharing
TAMINANGO;MANIPIA;EL PLAN;;;1,563;77,343;
TAMINANGO;TURBANBILLA;FUENTE DE VIDA;;;1,548711;77,313981;
TAMINANGO;LA CONCORDIA;MANANTIAL DE LECHERAL;;;1,57525;77,305219;
TAMINANGO;LOMA LARGA - PLATANAL;SIN NOMBRE;;;1,524717;77,343881;
TAMINANGO;LLANO GRANDE;LAS TINAJAS;;;1,561614;77,290336;
TAMINANGO;GRANADILLO;MATAJUCO;252;15/11/2024;1,563;77,343;https://drive.google.com/file/d/13plxJbOO9zseJCwwrELhq9EwdIENxq3F/view?usp=sharing
TAMINANGO;REMOLINO;RIO PATIA;;;1,660869;77,321947;
TANGUA;PROVIDENCIA ALTO;EL ROMERO;;;1,071353;77,375117;https://drive.google.com/file/d/1NnBbpP7xPOPmWdg0LD3qx9xDfNWawSgs/view?usp=sharing
TANGUA;DIVINO NIÑO Y PALMAS;QUEBADA OPONGOY;;;0,998436;77,294447;https://drive.google.com/file/d/1gzfa9h367ZSXT02g6oQWcDVXRg5MefEc/view?usp=sharing
TANGUA;OPONGOY - LOS ARRAYANES;QUEBRADA LAS PIEDRAS;;;1,034836;77,312625;https://drive.google.com/file/d/1VGQdNKQpSzXy03bjbr-QLJ_nYGSHVM-5/view?usp=sharing
TANGUA;MARQUEZA;QUEBRADA EL MAR;;;1,094919;77,211819;https://docs.google.com/document/d/1BgvtmnJSV1OMwM3-_XB1SV26ErtqXTWS/edit?usp=sharing&ouid=108367453476344242036&rtpof=true&sd=true
TANGUA;PROVIDENCIA;OJO DE AGUA;256;18/11/2024;1,084153;77,390522;
TANGUA;SAN ANTONIO;NACIMIENTO LAS PALMAS;294;23/12/2024;1,108489;77,375297;
TANGUA;MARQUEZA;POZO;;;1,094919;77,211819;
TANGUA;LOS AJOS;LA ESPERANZA - EL PORVENIR;;;1,104858;77,394203;
TUMACO;la Herrera / corregimiento de Candelillas;Rio Mira;;;1,523306;78,739361;https://drive.google.com/file/d/1Ov_K3hyw_I8O3ddxX-Ir2wvbUyZ5tgnl/view?usp=sharing
