MUNICIPIO;CORREGIMIENTO O VEREDA;FUENTE;NO. AUTORIZACION;FECHA AUTORIZACION;LATITUD DECIMAL;LONGITUD DECIMAL;ANEXO
PUPIALES;SAN MARCOS;ARROYO EL TIGRE;365;29/12/2023;0,917945;-77,612272;
PUPIALES;SAN MARCOS;ARROYO LOS PATOS;378;29/12/2023;0,917945;-77,612272;
PUPIALES;SAN MARCOS;ARROYO LOS TRES DUENDES;366;29/12/2023;0,917945;-77,612272;
PUPIALES;SAN MARCOS;ARROYO MINA DE OROS;376;29/12/2023;0,917945;-77,612272;
RICAURTE;EL CARRIZAL;EL CARRIZAL;146;06/07/2023;1,219844;-78,078989;
ROBERTO PAYAN;LIMONAR;BRISAS DE MUÑAMBI;38;16/02/2023;2,040081;-78,320297;
ROBERTO PAYAN;YACUN;LAS TUNDAS;43;27/02/2023;1,661206;-78,355067;
SAMANIEGO;NO REGISTRA;EL PICACHO;18;23/01/2023;1,337225;-77,583397;
SAMANIEGO;SAN JUAN;ARROYO EL YARUMO;26;03/02/2023;1,330736;-77,586011;
SAMANIEGO;LA CUCHILLA;EL PARAMO;49;06/03/2023;1,342706;-77,569758;
SAMANIEGO;SAN JUAN;SAN JUAN;103;19/05/2023;1,330736;-77,586011;
SAMANIEGO;EL CARRIZAL;EL CARRIZAL;94;09/05/2023;1,220889;-77,572;https://docs.google.com/document/d/1PKglS6_0L7Y5HnlkJUbQxowg-9lSrSjb/edit?usp=sharing&ouid=108367453476344242036&rtpof=true&sd=true
SAMANIEGO;CARTAGENA;QUEBRADA LOS ORTEGA;149;06/07/2023;1,314817;-77,603982;
SAMANIEGO;EL CARRIZAL / SAN FRANCISCO;PARAMANO DE ALMORZADEROS;129;20/06/2023;1,315111;-77,548556;https://docs.google.com/document/d/1A5UUA3pH4hRtP49gsA-ldU7f_UJCP_PW/edit?usp=sharing&ouid=108367453476344242036&rtpof=true&sd=true
SAMANIEGO;PINAL;SAN GUILLERMO;196;24/08/2023;1,459631;-77,5876;
SAMANIEGO;BAJO CANADA;QUEBRADA CANADA;185;16/08/2023;1,49769;-77,642494;
SAMANIEGO;EL LLANO;EL ESLABON;203;29/08/2023;1,415556;-77,578027;
SAMANIEGO;LA CEJA;LA PALMA;279;30/10/2023;1,304119;-77,585733;
SAMANIEGO;SANTA ROSA;PALO QUEMADO;256;11/10/2023;1,327206;-77,614206;
SAMANIEGO;CILINDRO;MICRO CUENCA EL CILINDRO;283;17/11/2023;1,380472;-77,606944;https://drive.google.com/file/d/1M0LL8D3niOijrgzb40TMZTeYTF3_Jrf9/view?usp=sharing
SAMANIEGO;ALTO CARTAGENA;OJO DE AGUA;343;19/12/2023;1,332683;-77,600372;
SAMANIEGO;EL PICHUELO;ALTO PACUAL;351;19/12/2023;1,365308;-77,616397;
SAN BERNARDO;PINDAL BAJO;EL SILENCIO;167;18/07/2023;1,504126;-77,059266;
SAN BERNARDO;SAN ANTONIO ALTO;RIO QUIÑA;243;3/10/2023;1,531161;-77,0576;
SAN LORENZO;CORPUS;EL MOTILON;9;17/01/2023;1,506438;-77,16726;
SAN LORENZO;SAN VICENTE;LA MONTAÑA;66;19/04/2023;1,598906;-77,193979;
SAN LORENZO;CAJETO;LA PEÑA;41;27/02/2023;1,495697;-77,226136;
SAN LORENZO;CORPUS;CORPUS;67;19/04/2023;1,506438;-77,16726;
SAN LORENZO;SANTA MARTA;QUEBRADA LA MARUCHA;86;04/05/2023;1,506228;-77,208136;
SAN LORENZO;SANTA MARTA;ZARAGOZA LA MARUCHA;79;02/05/2023;1,506228;-77,208136;
SAN LORENZO;SAN JOSE ALTO;EL CASCO EL RAMAL;89;08/05/2023;1,575353;-77,195212;
SAN LORENZO;VALPARAISO BAJO;EL MOTILON;99;15/05/2023;1,601184;-77,210456;
SAN LORENZO;VALPARAISO BAJO;EL CARRIZAL;100;15/05/2023;1,601184;-77,210456;
SAN LORENZO;LA HONDA;PEÑAS BLANCAS;170;24/07/2023;1,539677;-77,251874;
SAN LORENZO;EL TABLON;EL TABLON;240;28/09/2023;1,599804;-77,256521;
SAN LORENZO;LA PRADERA;LA GUAYACANA;295;28/11/2023;1,513904;-77,231846;
SAN LORENZO;LA PRADERA;LA FLORESTA;300;4/12/2023;1,513904;-77,231846;
SAN PABLO;CAMPOBELLO;PALO GACHO;211;01/08/2023;1,663103;-77,005444;
SAN PABLO;EL MESON;CERRO EL BAILE;350;19/12/2023;1,65948;-76,934755;
SAN PABLO;EL DIAMANTE;EL CERRO;374;29/12/2023;1,683986;-77,050167;
SAN PABLO;CABUYALES LAGUNITAS;CHARGUAYACO;206;29/08/2023;1,661872;-76,975244;
