MUNICIPIO;CORREGIMIENTO O VEREDA;FUENTE;NO. AUTORIZACION;FECHA AUTORIZACION;LATITUD DECIMAL;LONGITUD DECIMAL;ANEXO
TANGUA;SAN ANTONIO;SAN ANTONIO;280;30/10/2023;1,107711;-77,375192;
TANGUA;CHAVES;EL CARMEN;297;4/12/2023;1,101944;-77,373056;
TANGUA;OPONGOY;URAYACO;317;6/12/2023;1,034836;-77,312625;
TANGUA;EL TABLON OBRAJE;BOCATOMA EL PESCADOR;355;29/12/2023;1,075298;-77,417266;
TANGUA;LAS PIEDRAS;LA JOYA;145;06/07/2023;1,036914;-77,316973;
TUMACO;CANDELILLA;POZO PROFUNDO LOTE 7A;22;31/12/2023;1,82175;-78,7333;https://drive.google.com/file/d/1sQBnIr43aiMax2A_TsQVi-zFc3XX0zO6/view?usp=sharing
TUMACO;CANDELILLA;EL ZANJON;193;24/08/2023;1,82175;-78,7333;
TUMACO;LA ESPRIELLA;ALJIBE MONTAGAS;226;14/09/2023;1,629363;-78,716996;
TUMACO;LA GUAYACANA;POZO SUBTERRANERO;222;11/09/2023;1,627328;-78,753072;
TUMACO;LLORENTE;POZO ESTACION POLICIA LLORENTE;289;21/11/2023;1,472506;-78,428199;
TUMACO;LA ESPRIELLA;POZO SUBTERRANEO FINCA JAMAICA;304;5/12/2023;1,629363;-78,716996;
TUMACO;LA ESPRIELLA;POZO SUBTERRANEO EXTRACTORA SANTAFE;298;4/12/2023;1,629363;-78,716996;
TUMACO;LA NUPA;POZO SUBTERRANEO FINCA TERRANOVA;305;5/12/2023;1,475697;-78,652317;
TUMACO;TANGAREAL;POZO PROFUNDO EL MIRA;302;4/12/2023;1,549486;-78,688739;
TUMACO;EL MORRO;POZO SUBTERRANEO;323;12/12/2023;1,829539;-78,733506;
TUQUERRES;TAINDEZ;NACIMIENTO VEREDA TAINDEZ;1;10/01/2023;1,079181;-77,629264;
TUQUERRES;SAN JOSE DE ALPAN;EL PARAMO;54;14/04/2023;1,180278;-77,585278;
TUQUERRES;DOS QUEBRADAS;EL CHORRILLO;142;04/07/2023;1,10335;-77,608789;
TUQUERRES;EL ESCRITORIO;NACIMIENTO CRISTO REY;150;06/07/2023;1,063694;-77,601522;
TUQUERRES;SAN JOSE DE ALPAN;CAMELLONES;151;07/07/2023;1,180278;-77,585278;
TUQUERRES;GUARAMUEZ;EL PILCHE ROMERILLO;117;14/06/2023;1,102334;-77,579616;
TUQUERRES;LA LAGUNA;SANTA HELENA;155;07/07/2023;1,062552;-77,587265;
TUQUERRES;SAN JOSE DE ALPAN;PATA DE GALLINA;274;30/10/2023;1,180278;-77,585278;
TUQUERRES;SAN JOSE DE ALPAN;ALPAN POTRERILLO;184;15/08/2023;1,180278;-77,585278;
TUQUERRES;SAN JUAN;TANQUE ALMACENAMIENTO SAN ROQUE;178;03/08/2023;1,098022;-77,621319;
TUQUERRES;POLACHAYAN;ARROYO CAMELLONES HONDOS;261;23/010/2023;1,177122;-77,587989;
TUQUERRES;SANTA ROSA;LA ORTIGA;326;12/12/2023;1,105711;-77,633667;
TUQUERRES;SAN JOSE DE ALPAN;SAN JOSE DE ALPAN;331;14/12/2023;1,180278;-77,585278;
TUQUERRES;LAS MINAS;BUENA VISTA;208;31/08/2023;1,267558;-77,617753;
YACUANQUER;EL ROSARIO;OJO DE AGUA;104;19/05/2023;1,123097;-77,400975;https://drive.google.com/file/d/1ZagTNlPH_PhMz7NlXXXycga5cfk9G6-D/view?usp=sharing
YACUANQUER;MEJIA;SANTA ISABLE;95;09/05/2023;1,138472;-77,398797;
YACUANQUER;LA AGUADA;SECTOR DE OBANDO;124;15/06/2023;1,13355;-77,399728;
YACUANQUER;ZARAGOZA;NACIMIENTO ZARAGOZA;179;04/08/2023;1,115964;-77,400633;
