MUNICIPIO;CORREGIMIENTO O VEREDA;FUENTE;NO. AUTORIZACION;FECHA AUTORIZACION;LATITUD DECIMAL;LONGITUD DECIMAL;ANEXO
IPIALES;PENJAMO;ARROYO QUEBRADA LA FRIA;174;2023-08-02;0.683494;-77.531431;
IPIALES;CHAGUAIPE;ARROYO PIEDRANCHA;231;2023-09-18;0.8456;-77.567689;
IPIALES;TELIZ;RIO TELIZ;311;2023-12-05;0.804469;-77.641383;
IPIALES;VILLA FLOR 2;ARROYO LOS CRISTALES;318;2023-12-06;0.772586;-77.712975;
IPIALES;EL ROSAL DE SAN JUAN;ARROYO EL CHORRO;352;2023-12-19;0.823817;-77.613967;
LA CRUZ;ALTO SANO;AGUACILLAS PEÑAS BLANCAS;181;2023-08-08;1.604111;-76.978025;
LA CRUZ;LOMA LARGA;PIEDRA CUEVA DEL LORO;187;2023-08-16;1.542778;-76.957028;
LA FLORIDA;SECTOR ORIENTAL;EL CASCAJAL;266;2023-10-23;1.300127;-77.391516;
LA FLORIDA;SAN FRANCISCO;TUNJA GRANDE - SAN FRANCISCO;315;2023-12-05;1.355936;-77.353597;
LA LLANADA;LA FLORESTA;BOCATOMA LA CHORRERA;3;2023-01-10;1.48176;-77.573748;
LA LLANADA;PALMAR;PALMAR;209;2023-09-01;1.561389;-77.621948;
LA LLANADA;LA FLORIDA;LA FLORIDA;217;2023-09-08;1.563374;-77.662357;
LA LLANADA;SAN PEDRO;SAN PEDRO EL CUCHO;218;2023-09-08;1.468867;-77.583572;
LA LLANADA;EL VERGEL;SANTA ROSA;219;2023-09-08;1.534231;-77.655949;
LA UNION;BUENOS AIRES;EL TRIGAL;51;2023-03-21;1.569023;-77.145711;
LA UNION;LA PRADERA;LA CRISTALINA;105;2023-05-19;1.591625;-77.1443;
LA UNION;LA JACOBA;QUEBRADA GRANDE;130;2023-06-20;1.583406;-77.146772;
LA UNION;LA PLAYA;LA PISCINA;160;2023-07-17;1.631417;-77.161944;
LA UNION;LA MERCED;EL MANANTIAL;265;2023-10-23;1.574417;-77.130944;
LA UNION;LA MERCED;LA JACOBA;278;2023-10-30;1.574417;-77.130944;
LEIVA;SANTA LUCIA;LA LUCHA;338;2023-12-18;1.906974;-77.273375;
LINARES;SAN FRANCISCO;ALTO PEDRERO;2;2023-01-01;1.333889;-77.537222;
LINARES;SAN FRANCISCO;EL PEDRERO;120;2023-06-14;1.333889;-77.537222;
LINARES;LA TOLA;CHUPITAMBO;144;2023-07-06;1.352222;-77.5025;
LINARES;ARBOLEDA;LA LOMA;213;2023-09-01;1.342;-77.533;
LINARES;ARBOLEDA;EL ESTADIO;214;2023-09-01;1.342;-77.533;
LINARES;BELLA VISTA;PUERTO ALCALA;186;2023-08-16;1.339816;-77.510603;
LINARES;BELLA VISTA;ALTO POZUELO;290;2023-11-24;1.339816;-77.510603;
LINARES;ARBOLEDA;EL PLACER LA PEÑA;327;2023-12-12;1.342;-77.533;https://drive.google.com/file/d/1NDx8RdSEH7UBDc_V270cXLiItXMVhXcP/view?usp=sharing
LINARES;ARBOLEDA;LA PEÑA;339;2023-12-18;1.342;-77.533;
LINARES;TAMBILLO DE BRAVOS;LA MONTAÑA;361;2023-12-29;1.403521;-77.51193;
LINARES;TAMBILLO DE BRAVOS;EL CERRO;362;2023-12-29;1.403521;-77.51193;
LINARES;TAMBILLO DE BRAVOS;EL PALMAR;363;2023-12-29;1.403521;-77.51193;
LOS ANDES;LA AURORA BAJA;EL MADARINO;324;2023-12-12;1.531714;-77.476436;
LOS ANDES;LA AURORA;LA AURORA;328;2023-12-12;1.528453;-77.475372;
LOS ANDES;EL PLACER;HUECO HONDO;330;2023-12-12;1.544944;-77.468528;
LOS ANDES;LA LOMA;LA PALMERA Y EL ROBLE;325;2023-12-12;1.494814;-77.504622;
MALLAMA;SAN MIGUEL;QUEBRADA SAN MIGUEL;24;2023-02-03;1.180672;-77.914403;
MALLAMA;PIDRADRANCHA;QUEBRADA CHALA;34;2023-02-10;1.146706;-77.860847;
MALLAMA;CHUCUNES;QUEBRADA CHARGUAYACO;23;2023-02-03;1.167483;-77.895508;
MALLAMA;PUEBLO VIEJO;JORGE BEDOYA;199;2023-08-28;1.049219;-77.884294;
NARIÑO;EL COMUN;LA INMACULADA;19;2023-01-23;1.285217;-77.351525;
NARIÑO;EL SILENCIO;QUEBRADA URAPAN;321;2023-12-11;1.275721;-77.362001;
OSPINA;NARIÑO;CUNCHILA;241;2023-09-29;1.050588;-77.574847;
OSPINA;NO REGISTRA;NACIMIENTO LA PISCINA;228;2023-09-18;1.058283;-77.560425;
OSPINA;SAN MIGUEL;LOS PILARES DE SAN MIGUEL;286;2023-11-17;1.034858;-77.527113;
POLICARPA;PANECILLO;EL COCAL;27;2023-02-03;1.645816;-77.455818;
POLICARPA;EL COCAL;EL COCAL;111;2023-06-09;1.820481;-77.620072;
